STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/5/07,0.31,4.7,0,,30,26
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/6/07,0,0,3,,32,16
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/7/07,0.06,0.1,3,,34,14
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/8/07,0.17,0,1,,52,33
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/9/07,0.08,0,0,,41,37
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/10/07,0.03,0,0,,47,39
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/11/07,0,0,0,,50,43
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/12/07,0,0,0,,59,42
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/13/07,0.05,0,0,,42,34
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/14/07,0,0,0,,50,30
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/15/07,0.14,0,0,,36,26
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/16/07,0.93,0,0,,44,33
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/17/07,0,0,0,,39,24
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/18/07,0,0,0,,41,20
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/19/07,0,0,0,,41,30
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/20/07,0,0,0,,47,25
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/21/07,0,0,0,,43,30
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/22/07,0,0,0,,46,37
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/23/07,0.27,0,0,,63,42
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/24/07,0,0,0,,49,31
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/25/07,0,0,0,,50,30
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/26/07,0.56,0,0,,38,28
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/27/07,0,0,0,,54,33
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/28/07,0.48,0,0,,47,28
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/29/07,0.18,0,0,,54,33
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/30/07,0.23,0,0,,42,30
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/31/07,0.05,0,0,,50,33
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",1/1/08,0,0,0,,51,34
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",1/2/08,0,0,0,,35,22
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",1/3/08,0,0,0,,31,18
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",1/4/08,0,0,0,,40,15
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",1/5/08,0.01,0,0,,43,19
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",1/6/08,0.2,0,0,,56,35
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",1/7/08,0,0,0,,70,42
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",1/8/08,0,0,0,,70,39
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",1/9/08,0.01,0,0,,64,39
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",1/10/08,0.11,0,0,,49,31
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",1/11/08,0.14,0,0,,57,40
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",1/12/08,0,0,0,,51,33
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",1/13/08,0.06,0,0,,46,27
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",1/14/08,0.02,0,0,,44,30
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",1/15/08,0,0,0,,38,27
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",1/16/08,0,0,0,,42,28
